epoch,train_loss,val_loss,train_accuracy,train_fpr_macro,train_precision_macro,train_recall_macro,train_f1_macro,train_precision_weighted,train_recall_weighted,train_f1_weighted,val_accuracy,val_fpr_macro,val_precision_macro,val_recall_macro,val_f1_macro,val_precision_weighted,val_recall_weighted,val_f1_weighted
1,0.04332275851090769,0.01557538007857834,0.9831555534874392,0.011069345485541808,0.7669491483024674,0.7151471052964339,0.735360263388886,0.9821715686767428,0.9831555534874392,0.9824582864900522,0.9960003636033088,0.001436189289731181,0.8254687337580483,0.7811094484203912,0.7946837355424812,0.9961026860219799,0.9960003636033088,0.9959505294227262
2,0.007839151383126394,0.0034856639659857354,0.997671926295221,0.0009647980468471037,0.8634246113367803,0.8475587404605852,0.8531963623393607,0.9976752439559035,0.997671926295221,0.9976680382146267,0.9989613738818357,0.0005015186959925791,0.9114304053346505,0.824538857758178,0.851940102202569,0.9989489503375211,0.9989613738818357,0.9989379085128276
3,0.0036793602948535786,0.0022974446612330653,0.9989986469469373,0.000482700309682014,0.8716582096336983,0.8630560182060948,0.8670588054698438,0.9989890488429767,0.9989986469469373,0.9989926559139665,0.9994747952206365,0.0002967036493204274,0.9572838091416567,0.8814055869743652,0.8937490373855648,0.999470136527675,0.9994747952206365,0.9994627143387271
4,0.0026009531499318348,0.0022409397097248643,0.999307060801537,0.00036774816193568756,0.895697587762238,0.8844115445187366,0.8893908511146685,0.9992997499331686,0.999307060801537,0.9993025217332775,0.9995118288909762,0.00032052346236965696,0.9040355908448472,0.8603147447385187,0.8787166965585578,0.9995019091493191,0.9995118288909762,0.9994927882752264
5,0.002130144788779452,0.48992807490277984,0.9994398050103003,0.0003072955965323247,0.8928787967660944,0.8900555677762138,0.8902607727485768,0.9994310318150147,0.9994398050103003,0.9994342311807737,0.9675484046904826,0.030577221943290954,0.8281769276619898,0.7990885078567901,0.7971194475348695,0.9369934180650729,0.9675484046904826,0.9519842122319542
6,0.001953961663617191,0.0018101991192068856,0.9994931912681725,0.0002714386423520132,0.9107367986960261,0.8954578995482797,0.9024199339514071,0.9994874297227653,0.9994931912681725,0.9994894125410086,0.9995555959559232,0.00027270395818334496,0.9841412000540859,0.9013923297229768,0.9176986638219247,0.9995537177316108,0.9995555959559232,0.9995475040783636
7,0.0018886167892398563,0.0014948768286539888,0.9994993234734687,0.0002652600138192692,0.9071044166604533,0.8973357864327725,0.9011819728261268,0.9994941578194273,0.9994993234734687,0.9994960173468509,0.9995943129749147,0.00029190040022947965,0.9564953864084214,0.8946846568089869,0.9202905874104862,0.9995908165797801,0.9995943129749147,0.9995834837694925
8,0.001786965137854794,0.0014378369297995588,0.999538281012997,0.00024986667330350617,0.9046866380222961,0.8964819018047651,0.9004703800524498,0.9995348823144179,0.999538281012997,0.9995360508602243,0.9996633302696388,0.00017709056306091888,0.9760087485788017,0.8928619016287277,0.9092792931007944,0.9996615553509174,0.9996633302696388,0.9996569088464041
9,0.0016628473017220157,0.0014877763694536431,0.9995721885011051,0.0002313876688184459,0.9223127128763615,0.9119306995208851,0.916410503080416,0.9995684962510961,0.9995721885011051,0.9995696742029597,0.9996431300858171,0.00015937938136047287,0.9363684764021899,0.9202701744433,0.921802882061248,0.9996502122311733,0.9996431300858171,0.9996438751935266
10,0.0017227607209023563,0.002172417210017047,0.9995779599884426,0.00023569448867339515,0.9180288548728944,0.9070655952707918,0.9115814471927617,0.9995737278526355,0.9995779599884426,0.9995750092726094,0.9994293448070377,0.0003830547051538112,0.9851704457613111,0.879513752695492,0.902863033028684,0.9994361766344665,0.9994293448070377,0.9994199173895576
