,0,1,2,3,4,5,6,7,8,9,10,11,12
0,337,0,0,10,0,0,0,0,0,0,0,0,0
1,0,353,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1798,2,0,0,0,0,0,0,0,0,0
3,2,2,19,546181,4,9,32,5,0,6,0,25,0
4,0,0,0,5,6,0,0,0,0,0,0,0,0
5,0,0,0,3,0,786,0,0,0,0,0,0,0
6,0,0,0,1,0,0,18868,0,0,0,0,0,0
7,0,0,0,1,0,0,0,23711,0,0,0,0,0
8,0,0,0,0,0,0,0,0,98,0,0,0,0
9,0,0,0,41,0,0,0,0,0,327,0,0,0
10,0,0,0,7,0,0,0,0,0,0,0,0,0
11,0,0,0,21,0,0,0,0,0,0,0,1377,0
12,0,0,0,0,0,0,0,0,0,0,0,0,16
