fold,best_epoch,best_val_loss,best_val_f1_macro,best_val_accuracy,eval_loss,eval_accuracy,eval_fpr_macro,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted,eqlv2_gamma,eqlv2_mu,eqlv2_alpha
1,7,0.0013531103956522848,0.9315124454092896,0.9996401842256765,0.0014891365128745667,0.9996401842256765,0.00015214532787173385,0.922684550639535,0.9522621414534262,0.9315124454092896,0.9996535165673979,0.9996401842256765,0.9996421604641385,12.0,0.3,2.0
2,7,0.001152614624120323,0.934989920587777,0.9997108848690524,0.001260665281153589,0.9997108848690524,0.0001122975793730082,0.9854723751228905,0.915547391559364,0.934989920587777,0.9997132195478546,0.9997108848690524,0.9997079983386078,12.0,0.3,2.0
3,7,0.0014303569974390927,0.9298428379869144,0.9996199835620797,0.0015283819908338374,0.9996199835620797,0.0002514066580172452,0.9527596129582576,0.9156031239445765,0.9298428379869144,0.9996190390725803,0.9996199835620797,0.999615765496045,12.0,0.3,2.0
4,9,0.0013501392705313768,0.9236685876025698,0.9996528089022323,0.0013834033378578134,0.9996528089022323,0.0002255690812686943,0.9756610220682997,0.9102267582800762,0.9236685876025698,0.9996525447960272,0.9996528089022323,0.9996473099304232,12.0,0.3,2.0
5,7,0.0016280437660543467,0.8924253997478938,0.9996098834574173,0.0016932734679813083,0.9996098834574173,0.00025553954325700047,0.9184914832342623,0.873288795573708,0.8924253997478938,0.999598028582041,0.9996098834574173,0.9995930250406849,12.0,0.3,2.0
