epoch,train_loss,val_loss,train_accuracy,train_fpr_macro,train_precision_macro,train_recall_macro,train_f1_macro,train_precision_weighted,train_recall_weighted,train_f1_weighted,val_accuracy,val_fpr_macro,val_precision_macro,val_recall_macro,val_f1_macro,val_precision_weighted,val_recall_weighted,val_f1_weighted
1,0.7309621069718916,0.653344825437047,0.7647998174974335,0.021683082802872802,0.38965593274615196,0.3192417155904627,0.3216373867289895,0.7563648817474159,0.7647998174974335,0.7494156339038851,0.7849212987605505,0.020834672187116224,0.48599688524082296,0.3331071929945465,0.34181368109346527,0.799463806249321,0.7849212987605505,0.7481512113199478
2,0.628704169657597,0.6789938739094659,0.7885922476667181,0.019655203821222787,0.46920562985219294,0.35098716451568435,0.3610437971697005,0.7822858535128264,0.7885922476667181,0.7697202848085332,0.7756824576077865,0.02155518374109802,0.46871574979901875,0.34303428402105995,0.34846538473363114,0.7881217486035467,0.7756824576077865,0.7400911992036459
3,0.6039919580500572,0.6029789283442213,0.7941612598044807,0.019210950826299113,0.47354807119492176,0.3598521520105326,0.37073358430258146,0.7861025468830971,0.7941612598044807,0.7741317209552847,0.8006615466504449,0.018699951343567004,0.4756197198267582,0.3510297834585858,0.3513359074292252,0.8158450315801283,0.8006615466504449,0.7720076914355681
4,0.5855179183175452,0.5891418743746316,0.7993478217110958,0.018761011573791612,0.470661548014951,0.36959975913829185,0.37996566674511184,0.7914373133406756,0.7993478217110958,0.7794751793951266,0.7914987453425595,0.01847924582073115,0.4587287396497244,0.3961310241342045,0.402443310735885,0.80627646462275,0.7914987453425595,0.7932329640177155
5,0.5747122452052845,0.5803935627240788,0.8024476814793443,0.018504931070918895,0.4716473235412713,0.3759086868547873,0.3842434589045025,0.7948240833897816,0.8024476814793443,0.7816653980401299,0.8025245228499733,0.018823684606450043,0.5489818647396791,0.36435334457436946,0.38722161033771074,0.7922172113535904,0.8025245228499733,0.7818188072957335
6,0.5682927653399336,0.5794523957836049,0.8048564469702562,0.0182590629623092,0.487731885357553,0.38518626758603847,0.3956602296743821,0.7981032399961459,0.8048564469702562,0.7858084614565446,0.8063645350163485,0.018261230720265437,0.511102133146183,0.36972313640456994,0.36549249952680396,0.8157629744057898,0.8063645350163485,0.7782242623153728
7,0.5625769499831339,0.5813076953118894,0.8058964432128504,0.018189265131842776,0.4984408195611756,0.3898514847124744,0.4008420452639139,0.7991811223530454,0.8058964432128504,0.7859282503520048,0.8042354193597445,0.018388835598777176,0.498074893506478,0.395073949119216,0.40124875119680686,0.7993691157812761,0.8042354193597445,0.7924161158003056
8,0.5540706851590388,0.5737070357397965,0.8091841732700836,0.017870096228012323,0.4965498815052731,0.3927364518889754,0.4036234989646671,0.8034478373066497,0.8091841732700836,0.7908748020857302,0.8072770131548932,0.018056387376221943,0.4939368559857519,0.38637154188336886,0.3961044610321923,0.8028308787687816,0.8072770131548932,0.7905938544239067
9,0.5467776292393676,0.5637951858410245,0.8110561665067533,0.017728078331558515,0.4951501756095285,0.39793211611058776,0.4097125984291597,0.8052734513167523,0.8110561665067533,0.792612818595204,0.8087217702075887,0.017926770921925326,0.5194357927253008,0.3890587346953728,0.39267861333871656,0.8108458856744066,0.8087217702075887,0.784877565636526
10,0.5399687242608396,0.557241966063401,0.8119418407262529,0.017638685553263027,0.5008128131465673,0.40025250641752896,0.4131602364295914,0.8068861353519416,0.8119418407262529,0.7938007002643209,0.8095582085012547,0.01814461970200845,0.5114789205064629,0.40335783574943296,0.404885528130123,0.8034861386748838,0.8095582085012547,0.7868930324586874
11,0.5353841007482495,0.5544052563931188,0.8138876401478807,0.01744502447321911,0.49831487508973227,0.40689725300162255,0.4200031673347103,0.8080549222675317,0.8138876401478807,0.796590398421943,0.8105847464071173,0.01780346452068895,0.5298180659514969,0.3918915910529639,0.4004110603322232,0.8103192618387548,0.8105847464071173,0.784295364956281
12,0.5305296376284854,0.5545827086167084,0.8152899576620884,0.01735538329237766,0.5087283734903232,0.40828267602996043,0.4214076931893684,0.8104397210296099,0.8152899576620884,0.796231895451643,0.8091399893544217,0.01773369247532503,0.4855765325482285,0.39524916538614174,0.4079923148747256,0.8073423177581684,0.8091399893544217,0.7977491895886705
13,0.5247686040027207,0.5576006632328541,0.8160884063902737,0.01723881016718629,0.4991065569009806,0.4090149863858014,0.4217710969744673,0.8109706410022449,0.8160884063902737,0.7990516278520846,0.807581172534408,0.01778328518146001,0.4965632111168276,0.39245596153624845,0.41508037248670276,0.8097468866845903,0.807581172534408,0.7989818746474802
14,0.5223292048470205,0.5428532296310821,0.8176114976616858,0.01710910838514495,0.5122080693183798,0.41477906638293405,0.42905369383759157,0.8132583737241114,0.8176114976616858,0.8005581219865935,0.8127899019086001,0.017610839921811137,0.5405331265534795,0.41318255979548696,0.4254986204351595,0.8105825450042453,0.8127899019086001,0.7956786441562095
15,0.5160261484256536,0.5443765941309608,0.8196445225746282,0.016923377947019955,0.5150377781171336,0.41911729121959446,0.43252104648468853,0.816839436788248,0.8196445225746282,0.8023598799240729,0.812029503459813,0.01744629019928952,0.5117295319195903,0.40445396726507743,0.42468287544955063,0.8132502056140962,0.812029503459813,0.8047799801584093
16,0.510602715034184,0.5464514871938411,0.821113936620616,0.0167656872120895,0.525496368514153,0.4287546048547683,0.44386427847661436,0.8176398159417616,0.821113936620616,0.8055132657310335,0.812143563227131,0.017330692040153108,0.49175213086122227,0.42145011635156493,0.42167734670305923,0.8087168325173691,0.812143563227131,0.800918961368862
17,0.5066741079143816,0.5608901471414001,0.8227913499151229,0.016624940545049257,0.5278891036952351,0.4309813118740701,0.4446964919772984,0.8205250418261276,0.8227913499151229,0.8062133811158988,0.810128507337845,0.017910615237989855,0.5068989556263139,0.39660611447152944,0.3949134384349138,0.8179039684777464,0.810128507337845,0.785417701801531
18,0.5016373516889566,0.5360275039418316,0.8239789585276337,0.016497427955118046,0.5298344466335515,0.4318977662797099,0.4465865072083647,0.8220219157151198,0.8239789585276337,0.808926394873025,0.8173522926013231,0.01723600462771717,0.49527571830931605,0.4282289016404541,0.4139740917992921,0.8179817945165568,0.8173522926013231,0.79339306140766
19,0.4983740725381914,0.55511429037724,0.8252940505505271,0.01637718318023655,0.5310423676794921,0.43712188321170753,0.4509391505590523,0.8227888935125426,0.8252940505505271,0.8096207866377857,0.8080374116036804,0.01787672156094551,0.5083092921557593,0.41996967332603197,0.43320311319955057,0.8078051977507309,0.8080374116036804,0.7971927246089694
20,0.49482159651088276,0.5510532063192745,0.8262199826890948,0.016296040370170177,0.5294104038158373,0.4391753976007588,0.4512527647747388,0.8239641473001047,0.8262199826890948,0.8106172025505146,0.807999391681241,0.017665161407558742,0.5047829788632411,0.41498722868418486,0.43260175465270145,0.809696083919309,0.807999391681241,0.8036214456109042
21,0.4883146707125342,0.543076511370203,0.8288434570817035,0.016034732565654193,0.5331389848474729,0.43866822203679295,0.45259620679998236,0.8271551679440682,0.8288434570817035,0.8138121531957643,0.8125617823739639,0.017480753664693646,0.5034515408686411,0.4085579552211315,0.42276572586591576,0.8113751242595638,0.8125617823739639,0.8023012076619888
22,0.4845565259174686,0.5692784351846055,0.8290447466770443,0.016002813339528306,0.535253993251715,0.44223666690086105,0.4561991754381521,0.8275158242465787,0.8290447466770443,0.8148845358794846,0.8057181963348795,0.017982465678637663,0.5015267175098803,0.41861167419034095,0.4350979771941908,0.8001872648914997,0.8057181963348795,0.7943639805514243
23,0.48046433873778194,0.5598352758429022,0.8302860325149793,0.015901217246448454,0.5460804479104775,0.45417122424424927,0.4672278254763238,0.8292830591851282,0.8302860325149793,0.8163789797316268,0.813740399969584,0.017544404137486758,0.5202940238686227,0.4092631313005448,0.41408004723537917,0.8157883638560786,0.813740399969584,0.7897081926595559
24,0.47612349741627136,0.5478450141110064,0.8317688658673233,0.015761513695054435,0.5498199085202541,0.4544335091632581,0.4679755103982434,0.8307453158606092,0.8317688658673233,0.817641072248415,0.813740399969584,0.017191107189726076,0.49506505088800473,0.4148628698421296,0.41978434605079745,0.8120327329137634,0.813740399969584,0.8012168254162585
25,0.4727890720687469,0.5400971236378328,0.832674669046357,0.015662383200814117,0.5534321609049393,0.45542989285537483,0.47003664244830323,0.8318984601671698,0.832674669046357,0.819285469789996,0.8178465515930348,0.017400162338350098,0.5198789092924083,0.42159410624897525,0.4209708677444711,0.8158894528534321,0.8178465515930348,0.7926457399918341
26,0.4675922308766457,0.5444872340778191,0.834150792745523,0.01552065748005028,0.5545010964569257,0.4625781643157444,0.4734063024331793,0.8337698868404768,0.834150792745523,0.8209292905626312,0.8150330773325223,0.017530716786004017,0.5086289911411078,0.40252815854751983,0.4092701906921229,0.8134035528782978,0.8150330773325223,0.7909040442284598
27,0.46235454604233117,0.5471064404914265,0.8362106562711773,0.0153599770836345,0.5623565295444849,0.46487482592881335,0.47865395419545964,0.8361069611279465,0.8362106562711773,0.821884442315561,0.8148049577978861,0.017022970736672534,0.4949717248674492,0.44527027162906224,0.44643692271238433,0.8151532677468724,0.8148049577978861,0.8080467517783753
